timestamp,agent_id,chunk_index,bytes,gap_ms,parse_ms
14051.1707924,insight,141,99,22.3525,0.0491
14051.1850511,collector,141,98,25.3129,0.0254
14051.1927894,insight,142,106,21.9970,0.0301
14051.2103168,collector,142,96,25.2657,0.0299
14051.2178795,insight,143,99,25.0901,0.0188
14051.233521,collector,143,98,23.2042,0.0343
14051.2388479,insight,144,104,20.9684,0.0178
14051.2643626,collector,144,98,30.8416,0.0154
14051.2675729,insight,145,102,28.7250,0.0208
14051.2859162,collector,145,98,21.5536,0.0213
14051.2935023,insight,146,104,25.9294,0.0180
14051.3111316,collector,146,98,25.2154,0.0183
14051.3214674,insight,147,102,27.9651,0.0297
14051.3363567,collector,147,98,25.2251,0.0177
14051.3472913,insight,148,100,25.8239,0.0182
14051.3599553,collector,148,98,23.5986,0.0156
14051.3743734,insight,149,101,27.0821,0.0194
14051.3857111,collector,149,98,25.7558,0.0253
14051.4003815,insight,150,101,26.0081,0.0243
14051.4111209,collector,150,101,25.4098,0.0192
14051.428678,insight,151,99,28.2965,0.0493
14051.4372269,collector,151,98,26.1060,0.0180
14051.4548018,insight,152,105,26.1238,0.0216
14051.4645547,collector,152,99,27.3278,0.0269
14051.4811765,insight,153,100,26.3747,0.0187
14051.4910419,collector,153,98,26.4872,0.0856
14051.5094691,insight,154,99,28.2926,0.0186
14051.5145001,collector,154,100,23.4582,0.0237
14051.5374641,insight,155,107,27.9950,0.0332
14051.5416363,collector,155,99,27.1362,0.0162
14051.5628742,insight,156,103,25.4101,0.0253
14051.5666194,collector,156,100,24.9831,0.0211
14051.5904876,insight,157,101,27.6134,0.0180
14051.593222,collector,157,103,26.6026,0.0152
14051.6156057,insight,158,103,25.1181,0.0211
14051.618557,collector,158,100,25.3350,0.0142
14051.6475043,collector,159,98,28.9473,0.0201
14051.6491842,insight,159,109,33.5785,0.0316
14051.6727361,collector,160,98,25.2318,0.0185
14051.6759652,insight,160,106,26.7810,0.0222
14051.6963309,collector,161,98,23.5948,0.0303
14051.7017339,insight,161,107,25.7687,0.0151
14051.722007,collector,162,103,25.6761,0.0150
14051.7286556,insight,162,100,26.9217,0.0184
