latency_ms,tokens,tokens_per_s,status,scenario,prompt_set,backend,model,quantization,error,wall_ms,ollama_eval_ms,ollama_prompt_eval_ms
2080.6960299996717,128,61.517875823514785,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2104.3539519996557,128,60.826269211207745,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2050.762366001436,128,62.41581283236322,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2028.528652001114,128,63.09992213998548,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2038.3734250026464,128,62.79516718082891,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2048.7443530000746,128,62.47729240232607,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2091.2943100011034,128,61.20611498241606,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2060.745513001166,128,62.11344350500963,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2151.9598340019,128,59.48066408003737,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
1965.536598003382,128,65.12216568748914,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2168.676298999344,128,59.02217867141394,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2057.7480499996454,128,62.203922389829046,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2062.5329860013153,128,62.05961352800317,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2063.6492099984025,128,62.02604559914477,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2148.9089549977507,128,59.565110798346495,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2028.586002998054,128,63.09813821589441,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2059.7245449971524,128,62.14423200951706,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2045.5676810015575,128,62.57431674777352,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
0.0,0,0.0,error,single_micro,micro,transformers-gpu-compile,models/qwen2.5-0.5b,fp16,"Error: accessing tensor output of CUDAGraphs that has been overwritten by a subsequent run. Stack trace: File ""/usr/local/lib/python3.12/dist-packages/transformers/utils/generic.py"", line 841, in wrapper
    output = func(self, *args, **kwargs)
  File ""/usr/local/lib/python3.12/dist-packages/transformers/models/qwen2/modeling_qwen2.py"", line 476, in forward
    outputs: BaseModelOutputWithPast = self.model(
  File ""/usr/local/lib/python3.12/dist-packages/transformers/utils/generic.py"", line 915, in wrapper
    output = func(self, *args, **kwargs)
  File ""/usr/local/lib/python3.12/dist-packages/transformers/utils/output_capturing.py"", line 253, in wrapper
    outputs = func(self, *args, **kwargs)
  File ""/usr/local/lib/python3.12/dist-packages/transformers/models/qwen2/modeling_qwen2.py"", line 411, in forward
    hidden_states = decoder_layer(
  File ""/usr/local/lib/python3.12/dist-packages/transformers/modeling_layers.py"", line 93, in __call__
    return super().__call__(*args, **kwargs)
  File ""/usr/local/lib/python3.12/dist-packages/transformers/models/qwen2/modeling_qwen2.py"", line 298, in forward
    hidden_states, _ = self.self_attn(
  File ""/usr/local/lib/python3.12/dist-packages/transformers/models/qwen2/modeling_qwen2.py"", line 228, in forward
    key_states, value_states = past_key_values.update(key_states, value_states, self.layer_idx, cache_kwargs)
  File ""/usr/local/lib/python3.12/dist-packages/transformers/cache_utils.py"", line 792, in update
    keys, values = self.layers[layer_idx].update(key_states, value_states, cache_kwargs)
  File ""/usr/local/lib/python3.12/dist-packages/transformers/cache_utils.py"", line 120, in update
    self.keys = torch.cat([self.keys, key_states], dim=-2). To prevent overwriting, clone the tensor outside of torch.compile() or call torch.compiler.cudagraph_mark_step_begin() before each model invocation.",,,
272.8355,10,36.65212188296611,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,545.3614840007504,272.8355,59.6382
17.537,10,570.2229571762559,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,238.8153970023268,17.537,6.5409
20.292,10,492.80504632367433,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,210.64714300155174,20.292,6.6574
17.9532,10,557.0037653454538,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,216.1211840029864,17.9532,7.0589
18.7732,10,532.6742377431658,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,216.96170099676237,18.7732,6.0668
19.2756,10,518.7905953640873,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,199.41023399951519,19.2756,5.7969
19.6245,10,509.56712272924153,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,204.69651999883354,19.6245,5.5839
17.8086,10,561.526453511225,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,228.20100900207763,17.8086,4.5716
