latency_ms,tokens,tokens_per_s,status,scenario,prompt_set,backend,model,quantization,wall_ms,ollama_eval_ms,ollama_prompt_eval_ms
1.515164000011282,19,12539.896671158056,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5328539993788581,17,11090.42348905292,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5231610013870522,19,12474.058870137713,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
3.8096159987617284,27,7087.328488954277,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.7955429979774635,25,6586.672845840973,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.828888999123592,27,7051.65388868158,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.9245389998541214,25,6370.174943077205,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.8146440019772854,27,7077.986828129912,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.791325001657242,25,6594.000775209761,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.6646340013248846,27,7367.7207574449785,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.821867998340167,25,6541.303888794033,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.8204820011742413,27,7067.171103463237,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.877233000821434,25,6447.897249070014,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
4.239075002260506,27,6369.314056864322,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.8674539973726496,25,6464.201000705819,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.9354389991785865,27,6860.733962751169,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.8688220010953955,25,6461.915278842409,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
4.4467230000009295,27,6071.887095282156,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
4.43255699792644,25,5640.085398043399,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.935873999580508,27,6859.975701172777,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.83827299810946,25,6513.345979380242,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
4.092830000445247,27,6596.902387116677,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.9162989996839315,25,6383.577965323293,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.8822839997010306,27,6954.668953141819,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.813405000983039,25,6555.820846082536,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.8424779995693825,27,7026.715573394519,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.8865939968673047,25,6432.367265567395,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
