scenario,output_dir,agent_a_num_gpu,agent_a_num_ctx,agent_a_temperature,agent_b_num_gpu,agent_b_num_ctx,agent_b_temperature,speedup,efficiency,throughput_delta,ttft_delta_ms,agent_a_url,agent_b_url
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase2\chimera-homo\gpu80_ctx2048_temp1,80.0,2048.0,1.0,80.0,2048.0,1.0,1.623296158294489,81.16480791472445,0.5296446993936541,2153.6201799999994,http://localhost:11434,http://localhost:11434
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase2\chimera-homo\gpu80_ctx512_temp0p6,80.0,512.0,0.6000000238418579,80.0,512.0,0.6000000238418579,1.4747724465249479,73.7386223262474,0.3390946910923759,-2016.0495999999998,http://localhost:11434,http://localhost:11434
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase2\chimera-homo\gpu80_ctx512_temp0p8,80.0,512.0,0.800000011920929,80.0,512.0,0.800000011920929,1.5168814588178132,75.84407294089067,-0.21440121014823318,2414.2504200000003,http://localhost:11434,http://localhost:11434
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase2\chimera-homo\gpu80_ctx512_temp1,80.0,512.0,1.0,80.0,512.0,1.0,1.5707550256755234,78.53775128377617,-0.38724811771071754,4368.17014,http://localhost:11434,http://localhost:11434
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase3\chimera-homo\gpu80_ctx512,80.0,512.0,0.800000011920929,80.0,512.0,0.800000011920929,1.5090833001696895,75.45416500848447,-0.6928698234518891,278.88652000000064,http://localhost:11434,http://localhost:11434
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase1\chimera-homo\gpu120_ctx1024_temp0p8,120.0,1024.0,0.800000011920929,120.0,1024.0,0.800000011920929,1.8082107718986742,90.4105385949337,13.3363401073977,-12.462820000000011,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase1\chimera-homo\gpu120_ctx512_temp0p8,120.0,512.0,0.800000011920929,120.0,512.0,0.800000011920929,1.8269384993350168,91.34692496675083,12.687021249083491,-39.25438000000006,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase1\chimera-homo\gpu60_ctx1024_temp0p8,60.0,1024.0,0.800000011920929,60.0,1024.0,0.800000011920929,1.8035930472608057,90.17965236304029,13.717966602811874,-16.92236000000001,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase1\chimera-homo\gpu60_ctx512_temp0p8,60.0,512.0,0.800000011920929,60.0,512.0,0.800000011920929,1.8163791348712022,90.81895674356011,13.581697006732051,-14.972320000000064,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase1\chimera-homo\gpu80_ctx1024_temp0p8,80.0,1024.0,0.800000011920929,80.0,1024.0,0.800000011920929,1.796519485518952,89.82597427594757,14.002501304339813,-33.58775999999999,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase1\chimera-homo\gpu80_ctx512_temp0p8,80.0,512.0,0.800000011920929,80.0,512.0,0.800000011920929,1.8455235854533936,92.27617927266968,11.398832237851618,-23.71414000000005,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase2\chimera-homo\gpu80_ctx1024_temp0p6,80.0,1024.0,0.6000000238418579,80.0,1024.0,0.6000000238418579,1.8147927728766327,90.73963864383164,12.778657057330724,-22.865039999999986,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase2\chimera-homo\gpu80_ctx1024_temp0p8,80.0,1024.0,0.800000011920929,80.0,1024.0,0.800000011920929,1.7902032802865322,89.5101640143266,14.349850545800725,-21.447600000000005,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase2\chimera-homo\gpu80_ctx1024_temp1,80.0,1024.0,1.0,80.0,1024.0,1.0,1.8132298607035398,90.661493035177,12.092216692612773,-143.22902,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase2\chimera-homo\gpu80_ctx2048_temp0p6,80.0,2048.0,0.6000000238418579,80.0,2048.0,0.6000000238418579,1.8138958933489615,90.69479466744806,12.142386836965915,-138.20942,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase2\chimera-homo\gpu80_ctx2048_temp0p8,80.0,2048.0,0.800000011920929,80.0,2048.0,0.800000011920929,1.7445423604342136,87.22711802171068,1.1587298523157117,-142.60362,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase2\chimera-homo\gpu80_ctx2048_temp1,80.0,2048.0,1.0,80.0,2048.0,1.0,1.7706784469726167,88.53392234863085,15.423413531599175,-100.02253999999999,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase2\chimera-homo\gpu80_ctx512_temp0p6,80.0,512.0,0.6000000238418579,80.0,512.0,0.6000000238418579,1.8164397076166037,90.82198538083018,12.601704026839158,-31.80988000000002,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase2\chimera-homo\gpu80_ctx512_temp0p8,80.0,512.0,0.800000011920929,80.0,512.0,0.800000011920929,1.8001539413806384,90.00769706903192,13.948788528516985,-14.817119999999978,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase2\chimera-homo\gpu80_ctx512_temp1,80.0,512.0,1.0,80.0,512.0,1.0,1.7777422082418013,88.88711041209007,-0.558730759386664,-29.724180000000008,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase3\chimera-homo\gpu80_ctx512,80.0,512.0,0.800000011920929,80.0,512.0,0.800000011920929,1.7968355458525047,89.84177729262522,14.120126110826424,-12.36422,http://127.0.0.1:11434,http://127.0.0.1:11435
