timestamp,lag_ms
14114.9639302,7.8474
14115.0669868,2.9831
14115.1703878,3.3209
14115.2736296,3.1411
14115.3774412,3.7356
14115.4815572,4.0595
14115.585792,4.1862
14115.6886667,2.8266
14115.7962209,7.4941
14115.9035737,7.2777
14116.0105134,6.8282
14116.1182,7.5845
14116.2220719,3.7806
14116.3305298,8.3952
14116.4391684,8.5845
14116.5423669,3.1510
14116.6473354,4.8264
14116.7490237,1.6317
14116.8524284,3.3587
14116.9562581,3.7808
14117.0579037,1.6039
14117.1621855,4.2101
14117.269411,7.1157
14117.373155,3.6486
14117.4784518,5.2493
14117.5842712,5.7361
14117.685641,1.3078
14117.7867699,1.0665
14117.8919863,5.1614
14118.0001876,8.0995
14118.1090949,8.8187
14118.2147902,5.6119
14118.3152888,0.4514
14118.419231,3.8969
14118.5249151,5.6320
14118.6260326,1.0423
14118.7292785,3.1735
14118.8367699,7.4223
14118.9440796,7.1858
14119.046027,1.9054
14119.1490651,2.9395
14119.2527207,3.6070
14119.3605728,7.7992
14119.4659105,5.2456
14119.5697357,3.7434
14119.6748056,5.0096
14119.7768447,1.9555
14119.8821921,5.2990
14119.9895934,7.3070
14120.0973538,7.6901
14120.2020968,4.6801
14120.3059621,3.7591
14120.4126262,6.5951
14120.5194738,6.8000
14120.6240924,4.5642
14120.7259835,1.8403
14120.8348934,8.8442
14120.9426201,7.6394
14121.0499916,7.2420
14121.1537661,3.6995
14121.2566035,2.7905
14121.3587195,2.0429
14121.4663395,7.5179
14121.5735606,7.1102
14121.6805955,6.9584
14121.7853229,4.6320
14121.8895469,4.1636
14121.9959329,6.3409
14122.0976308,1.6321
14122.2024228,4.7301
14122.3087528,6.2291
14122.4156975,6.8751
14122.5236377,7.8893
14122.6277968,4.0946
14122.7352518,7.3681
14122.8439426,8.6137
14122.9514374,7.4474
14123.0604503,8.9664
14123.1646303,4.1345
14123.2708179,6.1493
14123.3781097,7.2318
14123.4795037,1.3439
14123.5797779,0.1704
14123.6846506,4.7908
14123.7926222,7.8712
14123.8993046,6.6043
14124.0006668,1.2526
14124.1035722,2.7947
14124.2047088,1.0821
14124.3081711,3.3993
14124.4115545,3.3037
14124.5159263,4.3233
14124.6188005,2.8172
14124.7224365,3.5669
14124.8261065,3.5681
14124.9296763,3.4883
14125.0339543,4.1844
14125.1360028,1.9524
14125.2399468,3.8976
14125.3503887,10.3461
14125.453451,2.9877
14125.5613845,7.8414
14125.6684852,7.0010
14125.7752268,6.6430
14125.8753607,0.0913
14125.9823977,6.9497
14126.0894244,6.9804
14126.194979,5.5103
14126.2989674,3.8888
14126.401236,2.1945
14126.5042078,2.9363
14126.6098117,5.4861
14126.7117059,1.8081
14126.8119649,0.1241
14126.9165737,4.5168
14127.0188092,2.1808
14127.1198929,1.0113
14127.2252282,5.2325
14127.3259551,0.6298
14127.434547,8.4969
14127.5403372,5.7168
14127.6475082,7.1230
14127.7529416,5.3518
14127.8545161,1.4961
14127.956132,1.4946
14128.0628944,6.6863
