timestamp,power.draw [W],utilization.gpu [%],memory.used [MiB]
2025/11/27 17:00:28.580, 133.15 W, 100 %, 9727 MiB
2025/11/27 17:00:28.750, 133.15 W, 100 %, 9727 MiB
2025/11/27 17:00:28.935, 133.04 W, 100 %, 9727 MiB
2025/11/27 17:00:29.103, 133.04 W, 100 %, 9727 MiB
2025/11/27 17:00:29.271, 133.04 W, 100 %, 9727 MiB
2025/11/27 17:00:29.440, 133.32 W, 100 %, 9727 MiB
2025/11/27 17:00:29.609, 133.32 W, 100 %, 9727 MiB
2025/11/27 17:00:29.778, 132.75 W, 100 %, 9727 MiB
2025/11/27 17:00:29.946, 132.75 W, 100 %, 9727 MiB
2025/11/27 17:00:30.114, 132.75 W, 100 %, 9727 MiB
2025/11/27 17:00:30.284, 132.89 W, 100 %, 9727 MiB
2025/11/27 17:00:30.453, 132.89 W, 100 %, 9727 MiB
2025/11/27 17:00:30.624, 132.89 W, 100 %, 9727 MiB
2025/11/27 17:00:30.793, 132.91 W, 100 %, 9727 MiB
2025/11/27 17:00:30.963, 132.91 W, 100 %, 9727 MiB
2025/11/27 17:00:31.132, 132.91 W, 100 %, 9727 MiB
2025/11/27 17:00:31.302, 133.03 W, 100 %, 9727 MiB
2025/11/27 17:00:31.471, 133.03 W, 100 %, 9727 MiB
2025/11/27 17:00:31.639, 133.03 W, 100 %, 9727 MiB
2025/11/27 17:00:31.808, 133.13 W, 100 %, 9727 MiB
2025/11/27 17:00:31.978, 133.13 W, 100 %, 9727 MiB
2025/11/27 17:00:32.149, 133.13 W, 100 %, 9727 MiB
2025/11/27 17:00:32.318, 131.34 W, 100 %, 9727 MiB
2025/11/27 17:00:32.486, 131.34 W, 100 %, 9727 MiB
2025/11/27 17:00:32.669, 131.34 W, 100 %, 9727 MiB
2025/11/27 17:00:32.839, 131.31 W, 100 %, 9727 MiB
2025/11/27 17:00:33.008, 131.31 W, 100 %, 9727 MiB
2025/11/27 17:00:33.178, 131.31 W, 100 %, 9727 MiB
2025/11/27 17:00:33.347, 132.80 W, 99 %, 9727 MiB
2025/11/27 17:00:33.517, 132.80 W, 99 %, 9727 MiB
2025/11/27 17:00:33.686, 132.80 W, 99 %, 9727 MiB
2025/11/27 17:00:33.840, 133.18 W, 99 %, 9727 MiB
2025/11/27 17:00:33.994, 133.18 W, 99 %, 9727 MiB
2025/11/27 17:00:34.162, 133.18 W, 99 %, 9727 MiB
2025/11/27 17:00:34.332, 133.60 W, 100 %, 9727 MiB
2025/11/27 17:00:34.486, 133.60 W, 100 %, 9727 MiB
2025/11/27 17:00:34.655, 133.60 W, 100 %, 9727 MiB
2025/11/27 17:00:34.824, 133.78 W, 100 %, 9727 MiB
2025/11/27 17:00:34.977, 133.78 W, 100 %, 9727 MiB
2025/11/27 17:00:35.146, 133.78 W, 100 %, 9727 MiB
2025/11/27 17:00:35.301, 133.91 W, 100 %, 9727 MiB
2025/11/27 17:00:35.470, 133.91 W, 100 %, 9727 MiB
2025/11/27 17:00:35.639, 133.91 W, 100 %, 9727 MiB
2025/11/27 17:00:35.806, 133.88 W, 100 %, 9727 MiB
2025/11/27 17:00:35.975, 133.88 W, 100 %, 9727 MiB
2025/11/27 17:00:36.143, 133.88 W, 100 %, 9727 MiB
2025/11/27 17:00:36.312, 132.19 W, 99 %, 9727 MiB
2025/11/27 17:00:36.497, 132.19 W, 99 %, 9727 MiB
2025/11/27 17:00:36.666, 132.19 W, 99 %, 9727 MiB
2025/11/27 17:00:36.837, 131.98 W, 99 %, 9727 MiB
2025/11/27 17:00:37.005, 131.98 W, 99 %, 9727 MiB
2025/11/27 17:00:37.175, 131.98 W, 99 %, 9727 MiB
2025/11/27 17:00:37.345, 132.34 W, 99 %, 9727 MiB
2025/11/27 17:00:37.514, 132.34 W, 99 %, 9727 MiB
2025/11/27 17:00:37.683, 132.34 W, 99 %, 9727 MiB
2025/11/27 17:00:37.854, 132.89 W, 99 %, 9727 MiB
2025/11/27 17:00:38.023, 132.89 W, 99 %, 9727 MiB
2025/11/27 17:00:38.210, 132.89 W, 99 %, 9727 MiB
2025/11/27 17:00:38.393, 132.73 W, 98 %, 9727 MiB
2025/11/27 17:00:38.562, 132.73 W, 98 %, 9727 MiB
2025/11/27 17:00:38.731, 132.73 W, 98 %, 9727 MiB
2025/11/27 17:00:38.886, 132.32 W, 98 %, 9727 MiB
2025/11/27 17:00:39.054, 132.32 W, 98 %, 9727 MiB
2025/11/27 17:00:39.224, 132.32 W, 98 %, 9727 MiB
2025/11/27 17:00:39.394, 132.83 W, 100 %, 9727 MiB
2025/11/27 17:00:39.562, 132.83 W, 100 %, 9727 MiB
2025/11/27 17:00:39.716, 132.83 W, 100 %, 9727 MiB
2025/11/27 17:00:39.885, 134.44 W, 100 %, 9727 MiB
2025/11/27 17:00:40.054, 134.44 W, 100 %, 9727 MiB
2025/11/27 17:00:40.223, 134.44 W, 100 %, 9727 MiB
2025/11/27 17:00:40.392, 134.23 W, 100 %, 9727 MiB
2025/11/27 17:00:40.560, 134.23 W, 100 %, 9727 MiB
2025/11/27 17:00:40.729, 134.23 W, 100 %, 9727 MiB
2025/11/27 17:00:40.898, 133.11 W, 100 %, 9727 MiB
2025/11/27 17:00:41.067, 133.11 W, 100 %, 9727 MiB
2025/11/27 17:00:41.237, 133.11 W, 100 %, 9727 MiB
2025/11/27 17:00:41.405, 132.88 W, 100 %, 9727 MiB
2025/11/27 17:00:41.573, 132.88 W, 100 %, 9727 MiB
2025/11/27 17:00:41.743, 132.88 W, 100 %, 9727 MiB
2025/11/27 17:00:41.911, 132.92 W, 100 %, 9727 MiB
2025/11/27 17:00:42.081, 132.92 W, 100 %, 9727 MiB
2025/11/27 17:00:42.251, 132.92 W, 100 %, 9727 MiB
2025/11/27 17:00:42.421, 133.40 W, 100 %, 9727 MiB
2025/11/27 17:00:42.574, 133.40 W, 100 %, 9727 MiB
2025/11/27 17:00:42.742, 133.40 W, 100 %, 9727 MiB
2025/11/27 17:00:42.911, 134.55 W, 100 %, 9727 MiB
2025/11/27 17:00:43.080, 134.55 W, 100 %, 9727 MiB
2025/11/27 17:00:43.249, 134.55 W, 100 %, 9727 MiB
2025/11/27 17:00:43.419, 132.70 W, 98 %, 9727 MiB
2025/11/27 17:00:43.573, 132.70 W, 98 %, 9727 MiB
2025/11/27 17:00:43.742, 132.70 W, 98 %, 9727 MiB
2025/11/27 17:00:43.911, 131.97 W, 98 %, 9727 MiB
2025/11/27 17:00:44.080, 131.97 W, 98 %, 9727 MiB
2025/11/27 17:00:44.266, 131.97 W, 98 %, 9727 MiB
2025/11/27 17:00:44.435, 133.05 W, 99 %, 9727 MiB
2025/11/27 17:00:44.604, 133.05 W, 99 %, 9727 MiB
2025/11/27 17:00:44.759, 133.05 W, 99 %, 9727 MiB
2025/11/27 17:00:44.928, 134.11 W, 99 %, 9727 MiB
2025/11/27 17:00:45.099, 134.11 W, 99 %, 9727 MiB
2025/11/27 17:00:45.268, 134.11 W, 99 %, 9727 MiB
