scenario,prompt_set,backend,model,quantization,latency_ms,cuda_event_ms,ttft_ms,tokens,tokens_per_s,status,error
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.599727001259453,23.521791458129883,24.599727001259453,16,650.4137220376809,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,26.4506209987303,25.284704208374023,26.4506209987303,17,642.7070275898643,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.820718999762903,23.728351593017578,24.820718999762903,16,644.6227444157777,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.33322599992971,24.217632293701172,25.33322599992971,17,671.0554747368997,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.983938001241768,23.877599716186523,24.983938001241768,16,640.4114515175613,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.95752899994841,23.858400344848633,24.95752899994841,17,681.1571770600824,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.877096999261994,23.781600952148438,24.877096999261994,16,643.1618609066265,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.847500999385375,23.75379180908203,24.847500999385375,17,684.1734305763993,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.318001000210643,23.247743606567383,24.318001000210643,16,657.9488174156012,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.772459999643615,24.63555145263672,25.772459999643615,17,659.6188334460536,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.696841999684693,23.6114559173584,24.696841999684693,16,647.8561105182708,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.712895001357538,23.62735939025879,24.712895001357538,17,687.8999809235685,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.551278998842463,23.471040725708008,24.551278998842463,16,651.6972089622851,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.89212900036364,23.796831130981445,24.89212900036364,17,682.9468061872752,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.700196001504082,23.61280059814453,24.700196001504082,16,647.7681391283577,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.50399900044431,23.428800582885742,24.50399900044431,17,693.7643116820137,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.36731600027997,23.295167922973633,24.36731600027997,16,656.6172490977737,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,26.321239000026253,25.1582088470459,26.321239000026253,17,645.8662527240091,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.43857700038643,24.31920051574707,25.43857700038643,16,628.9659991499111,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.362131000088993,23.279903411865234,24.362131000088993,17,697.8043094808866,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.580842000432312,23.49852752685547,24.580842000432312,16,650.9134227264714,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.966687999040005,23.86742401123047,24.966687999040005,17,680.9072953790934,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.30942299927119,24.19443130493164,25.30942299927119,16,632.175613030006,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.88647499922081,23.791776657104492,24.88647499922081,17,683.1019660491197,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.573098999098875,23.49135971069336,24.573098999098875,16,651.1185260185026,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.945612000010442,23.84934425354004,24.945612000010442,17,681.4825789799378,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.939765000453917,23.829792022705078,24.939765000453917,16,641.5457402950185,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.12479599863582,24.017887115478516,25.12479599863582,17,676.6224092296326,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.3787529982219,24.26348876953125,25.3787529982219,16,630.4486276816281,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,26.157618000070215,25.002975463867188,26.157618000070215,17,649.9062720448921,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.429028000871767,24.30451202392578,25.429028000871767,16,629.2021857639027,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,26.253492000250844,25.097440719604492,26.253492000250844,17,647.5329072352573,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.507161999485106,24.378271102905273,25.507161999485106,16,627.274802281923,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.84339300119609,24.70262336730957,25.84339300119609,17,657.8083612787686,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.12870500140707,24.022432327270508,25.12870500140707,16,636.7220276215621,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.009744998897077,23.90870475769043,25.009744998897077,17,679.7350393116642,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.252482999349013,24.001983642578125,25.252482999349013,16,633.6010601576276,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,28.76093000122637,27.48512077331543,28.76093000122637,17,591.079634743213,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,27.62817599978007,26.39561653137207,27.62817599978007,16,579.1189400316317,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,28.686038000159897,27.41187286376953,28.686038000159897,17,592.6227944028116,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,27.117970999825047,25.913728713989258,27.117970999825047,16,590.0146437985063,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,26.524326000071596,25.35424041748047,26.524326000071596,17,640.9210925832427,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.654537001173594,24.50934410095215,25.654537001173594,16,623.671360713626,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.446704001296894,24.328031539916992,25.446704001296894,17,668.0629443850014,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.95787500104052,24.81046485900879,25.95787500104052,16,616.3832748003695,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,26.098664000528515,24.940031051635742,26.098664000528515,17,651.3743385353265,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.701466998725664,24.567583084106445,25.701466998725664,16,622.5325581918462,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.34159000060754,24.227264404296875,25.34159000060754,17,670.8339926418367,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.001584999699844,23.900543212890625,25.001584999699844,16,639.9594265800383,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,26.669572000173503,25.494144439697266,26.669572000173503,17,637.4305519372191,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.133969000307843,24.02684783935547,25.133969000307843,16,636.5886740691067,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.329354999485076,24.21548843383789,25.329354999485076,17,671.1580298963631,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.0445010005933,23.944416046142578,25.0445010005933,16,638.8627986487318,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,26.12396400036232,24.967615127563477,26.12396400036232,17,650.7435089010313,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.611294000555063,24.4833927154541,25.611294000555063,16,624.7243891563323,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.276680000388296,24.167232513427734,25.276680000388296,17,672.5566806929885,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.301441000920022,24.18979263305664,25.301441000920022,16,632.3750492874378,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,26.063429000714677,24.912031173706055,26.063429000714677,17,652.254927758502,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,25.472315999650164,24.333152770996094,25.472315999650164,16,628.132911048204,ok,
single_medium,medium,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,18.158872000640258,17.316864013671875,18.158872000640258,17,936.1814984653563,ok,
single_medium,medium,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,18.038328000329784,17.192096710205078,18.038328000329784,16,887.000169844316,ok,
single_medium,medium,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,18.14860000013141,17.212831497192383,18.14860000013141,17,936.7113716692696,ok,
single_medium,medium,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,17.711427000904223,16.844575881958008,17.711427000904223,16,903.3715916387285,ok,
single_medium,medium,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,18.282350998561014,17.325439453125,18.282350998561014,17,929.8585286617707,ok,
single_medium,medium,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,17.754934000549838,16.880064010620117,17.754934000549838,16,901.1579541497879,ok,
single_medium,medium,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,17.87603099910484,17.06719970703125,17.87603099910484,17,950.994099352999,ok,
single_medium,medium,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,17.67276899954595,16.862688064575195,17.67276899954595,16,905.3476566355318,ok,
single_medium,medium,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,17.734822000420536,16.879552841186523,17.734822000420536,17,958.5661474130887,ok,
