backend,scenario,mode,n_total,n_degraded,degraded_rate,throughput_mean_tok_s,throughput_median_tok_s,gpu_power_mean_watts,gpu_memory_mean_mb,gpu_temperature_mean_c,cpu_power_mean_watts,cpu_utilization_mean_pct,mean,median,std,min,max,q25,q75,ci_lower,ci_upper,n
transformers-cpu,batch_medium,generate,7,0,0.0,31.449259265753188,31.59042012260381,1.8473777777777778,5336.01953125,49.904761904761905,81.48888250391785,0.0,1020.8936785708959,1013.0971999988105,54.75524102980122,961.1067000005278,1130.685349999112,989.9184499990952,1030.7647999998153,970.2535267063547,1071.533830435437,7
transformers-cpu,batch_medium,prefill,7,0,0.0,678.998741293761,679.8175471740714,2.0317857142857143,5284.01953125,47.0,71.9187859233853,0.0,113.34013571467949,111.80070000045816,11.482295202290196,100.29334999853745,126.3068000007479,103.21295000085229,124.27710000065417,102.72078381590876,123.95948761345022,7
transformers-cpu,batch_short,generate,7,0,0.0,35.225155357335616,34.37634948105169,1.8592817460317461,5336.01953125,49.57142857142857,76.92771085771217,0.0,910.6646285719243,930.9508000005735,38.163036369971515,846.76120000222,943.4930999996141,890.9834999994928,935.7401500010383,875.3697066422493,945.9595505015992,7
transformers-cpu,batch_short,prefill,7,0,0.0,485.40066331000736,482.8549834967557,2.0375714285714284,5284.01953125,47.0,69.12104559568394,0.0,92.59474999972943,93.51944999798434,9.883960926457636,78.18215000042983,107.44814999816299,87.08485000079236,97.42189999997208,83.45361076035344,101.73588923910542,7
transformers-cpu,single_long,generate,7,0,0.0,11.26787352685682,10.942223921946,1.8412721088435373,5336.01953125,49.0,73.08427090679065,0.0,721.4401214288436,731.3038499996765,86.41026885563592,577.4234999989858,836.6872500009777,680.4137250001077,771.9194000010248,641.5239516666899,801.3562911909972,7
transformers-cpu,single_long,prefill,7,0,0.0,339.20571375441824,321.23871400541816,1.9465714285714284,5284.01953125,47.0,60.09076337457022,0.0,81.3984428576597,84.16150000084599,11.94627590476349,62.403050000284566,94.25895000094897,74.88569999986794,89.59710000090126,70.34998037890493,92.44690533641447,7
transformers-cpu,single_medium,generate,7,0,0.0,11.347621915928388,11.040213474373328,1.8237891156462585,5336.01953125,49.0,69.20663036322635,0.0,709.1159571425253,725.5952499999694,52.00612459461618,634.5056499994826,784.634849998838,670.9685249998074,738.5694499998863,661.0183139246963,757.2136003603543,7
transformers-cpu,single_medium,prefill,7,0,0.0,221.44492224010182,221.66518827289445,2.618142857142857,5284.01953125,47.0,59.43785130327285,0.0,86.59019999998107,86.55650000036985,6.447926655567714,76.96130000113044,97.21899999931338,83.40494999993098,89.2923499995959,80.6268624471127,92.55353755284943,7
transformers-cpu,single_short,generate,7,0,0.0,11.271942127134025,11.284928639029076,6.34175238095238,5336.01953125,49.042857142857144,73.66398569915383,0.0,714.6592642857286,709.5897500003048,56.25861342045802,655.3272000001016,826.8490499995096,679.7767499992915,725.6476750008005,662.6287248575497,766.6898037139074,7
transformers-cpu,single_short,prefill,7,0,0.0,162.20985752991479,149.63131857753697,15.515309523809524,5284.01953125,47.0,60.625526025094835,0.0,70.15264285733532,73.71745000091323,12.579404793495804,50.89564999980212,85.14950000062527,62.235150001470174,78.41779999853316,58.51863381769915,81.7866518969715,7
transformers-gpu,batch_medium,generate,7,0,0.0,181.41156717137054,182.4097638669885,27.184785714285713,5336.01953125,50.0,55.9588866420201,0.0,177.45956428604717,175.80064999856404,11.607313747367607,162.9115500018088,195.07825000073353,169.8535499999707,184.35970000064117,166.7245895174007,188.19453905469365,7
transformers-gpu,batch_medium,prefill,7,0,0.0,3101.682510946627,2864.780805577943,20.191857142857145,5284.01953125,47.142857142857146,48.70312787291597,0.0,25.323714285799984,26.558100000329432,3.698537206490409,17.03809999889927,27.87575000002107,26.189725000222097,26.70730000045296,21.903137875381244,28.744290696218723,7
transformers-gpu,batch_short,generate,7,0,0.0,177.25008266511,171.99718517433598,22.61357142857143,5312.876674107143,49.57142857142857,45.0868590191419,0.0,181.4944714286477,186.05904999822087,12.447283805315124,160.02519999892684,196.19015000171203,174.51635000088572,189.57709999995132,169.982653923194,193.0062889341014,7
transformers-gpu,batch_short,prefill,7,0,0.0,4797.79646445315,5492.510280614482,18.457714285714285,5266.01953125,47.142857142857146,49.46159948140833,0.0,11.338149999573943,8.675549999679788,5.688147300428375,8.153349999702186,23.273449998669093,8.184474999325175,11.447875000158092,6.077491152966018,16.598808846181868,7
transformers-gpu,single_long,generate,7,0,0.0,52.322351698868076,51.99829288280624,20.422714285714285,5294.01953125,49.0,45.39028922832117,0.0,154.2096785714031,153.89569999933883,15.103723674190558,136.90634999875329,173.60854999969888,140.76920000024984,166.75937500076543,140.24106394755742,168.17829319524876,7
transformers-gpu,single_long,prefill,7,0,0.0,1149.9156174595503,1163.6152333344162,14.155285714285714,5264.01953125,47.0,46.95096105822687,0.0,23.606549999645463,23.256349999428494,0.9706699772375387,22.79255000030389,25.23115000076359,22.968649998801993,24.014249999709136,22.708829998177354,24.50427000111357,7
transformers-gpu,single_medium,generate,7,0,0.0,56.52379004070203,56.40749393921143,19.455785714285717,5294.01953125,49.0,44.6489565256595,0.0,142.80282857050355,141.9038999993063,13.482222557950486,122.0581499983382,167.62650000055146,139.72272499995597,144.29289999770845,130.33385235990545,155.27180478110165,7
transformers-gpu,single_medium,prefill,7,0,0.0,810.6116688552818,814.2055809091572,14.051142857142858,5264.01953125,47.0,54.88948332464343,0.0,23.57294285736446,23.448300000382005,0.6627511168209761,22.71764999932202,24.81630000147561,23.231449999912,23.782725000273786,22.96000030477955,24.18588540994937,7
transformers-gpu,single_short,generate,7,0,0.0,60.167079468119084,60.380208196155785,28.159071428571426,5259.805245535715,49.892857142857146,46.905786121679725,0.0,134.1707571425234,134.023349999552,6.306666422603498,125.85434999891731,146.61149999847112,131.65515000036976,134.69789999999193,128.3380635155184,140.0034507695284,7
transformers-gpu,single_short,prefill,7,0,0.0,496.72555670274727,497.2550149908477,14.98095238095238,5218.400483630952,47.0,43.35797893459131,0.0,22.251992857491132,22.236400000110734,0.3474452338591699,21.921900000961614,22.942600000533275,22.01792499909061,22.31360000132554,21.93065961018311,22.573326104799154,7
transformers-gpu-compile,batch_medium,generate,7,0,0.0,133.09257600091752,132.52006950021064,28.99621848739496,4723.537738532913,50.42857142857143,43.308424171214135,0.0,269.08494285661226,241.74015000062354,79.36372694805304,197.71525000032852,440.67359999826294,233.7481750000734,267.9846249984621,195.68573741803147,342.48414829519305,7
transformers-gpu-compile,batch_medium,prefill,7,0,0.0,3037.787926504187,3087.6407466422784,19.994914285714287,4708.933816964286,47.15714285714286,46.77698026171314,0.0,25.55663571443542,24.616449998575263,3.261175650223455,22.565999999642372,31.52905000024475,23.35237500119547,26.7401000000973,22.540551279807936,28.572720149062903,7
transformers-gpu-compile,batch_short,generate,7,0,0.0,196.39163917828427,204.88421658221196,33.583285714285715,4192.175375405844,50.467532467532465,48.58469590395397,0.0,183.0355928569978,156.19760000117822,58.73919683533409,149.4240499996522,313.43329999981506,153.39269999913085,177.70440000003873,128.71089640422252,237.36028930977307,7
transformers-gpu-compile,batch_short,prefill,7,0,0.0,2440.8711200583616,2666.6025340911337,15.753835164835165,4183.1843664148355,47.659340659340664,55.6771772572911,0.0,21.620035714087344,16.50059999883524,14.24258730581505,15.496849999180995,53.905849999864586,16.14117500048451,16.57729999988078,8.447839399255793,34.792232028918896,7
transformers-gpu-compile,single_long,generate,7,0,0.0,51.9517195252702,50.46709011850619,23.850296703296703,3663.645904876374,48.76923076923077,47.19895909321224,0.0,169.36249999993638,161.27125000093656,40.482071069117126,133.02255000053265,253.00154999968072,145.30509999895003,173.81597500025237,131.92282868855463,206.80217131131812,7
transformers-gpu-compile,single_long,prefill,7,0,0.0,1021.645769034633,1024.3814051713177,17.748228571428573,3664.9909598214285,47.0,48.231747330556814,0.0,26.469635714810074,26.36030000030587,1.0665630856615858,25.44484999998531,28.43359999860695,25.655600000391132,26.868750001995068,25.483229379722985,27.456042049897164,7
transformers-gpu-compile,single_medium,generate,7,0,0.0,57.6200005159943,60.3943685655826,22.31959090909091,3142.4351156655844,49.22077922077922,42.35794894125737,0.0,154.2449857144155,132.61245000103372,50.60078445891171,127.91269999979704,267.75835000080406,132.29662499998085,143.419074999656,107.4470653460334,201.04290608279757,7
transformers-gpu-compile,single_medium,prefill,7,0,0.0,778.3308772027641,784.4284754583557,16.109614285714287,3143.2766741071428,47.142857142857146,46.332733586400465,0.0,24.436292856470182,24.224649998359382,0.8137923898672017,23.78205000059097,26.19309999863617,24.020199999540637,24.40692499931174,23.683660424687922,25.18892528825244,7
transformers-gpu-compile,single_short,generate,7,0,0.0,144.73402632605408,144.7124067317294,44.78878306878307,2525.5433407738096,51.285714285714285,52.722630463239796,0.0,55.43595714282544,55.28365000100166,2.9255067188368646,51.98070000005828,61.1011500004679,53.705874999650405,56.13722499947471,52.7303146922333,58.141599593417574,7
transformers-gpu-compile,single_short,prefill,7,0,0.0,1807.7935569599592,1817.9346530676296,32.36327040816327,2526.3766741071427,48.423469387755105,47.204440312644024,0.0,6.100021428989878,6.062900001779781,0.28590889469388137,5.754750001869979,6.61614999989979,5.9186000007684925,6.214574998921307,5.835599803325931,6.364443054653825,7
