timestamp,power.draw [W],utilization.gpu [%],memory.used [MiB]
2025/11/27 17:05:03.404, 135.72 W, 100 %, 9499 MiB
2025/11/27 17:05:03.588, 135.72 W, 100 %, 9499 MiB
2025/11/27 17:05:03.759, 135.72 W, 100 %, 9499 MiB
2025/11/27 17:05:03.914, 135.62 W, 100 %, 9499 MiB
2025/11/27 17:05:04.082, 135.62 W, 100 %, 9499 MiB
2025/11/27 17:05:04.237, 135.62 W, 100 %, 9499 MiB
2025/11/27 17:05:04.407, 135.81 W, 100 %, 9499 MiB
2025/11/27 17:05:04.577, 135.81 W, 100 %, 9499 MiB
2025/11/27 17:05:04.732, 135.81 W, 100 %, 9499 MiB
2025/11/27 17:05:04.901, 135.71 W, 100 %, 9499 MiB
2025/11/27 17:05:05.071, 135.71 W, 100 %, 9499 MiB
2025/11/27 17:05:05.241, 135.71 W, 100 %, 9499 MiB
2025/11/27 17:05:05.410, 135.66 W, 100 %, 9499 MiB
2025/11/27 17:05:05.566, 135.66 W, 100 %, 9499 MiB
2025/11/27 17:05:05.737, 135.66 W, 100 %, 9499 MiB
2025/11/27 17:05:05.909, 135.99 W, 100 %, 9499 MiB
2025/11/27 17:05:06.077, 135.99 W, 100 %, 9499 MiB
2025/11/27 17:05:06.248, 135.99 W, 100 %, 9499 MiB
2025/11/27 17:05:06.418, 135.73 W, 100 %, 9499 MiB
2025/11/27 17:05:06.587, 135.73 W, 100 %, 9499 MiB
2025/11/27 17:05:06.759, 135.73 W, 100 %, 9499 MiB
2025/11/27 17:05:06.945, 135.86 W, 100 %, 9499 MiB
2025/11/27 17:05:07.115, 135.86 W, 100 %, 9499 MiB
2025/11/27 17:05:07.285, 135.86 W, 100 %, 9499 MiB
2025/11/27 17:05:07.456, 145.03 W, 100 %, 9499 MiB
2025/11/27 17:05:07.612, 145.03 W, 100 %, 9499 MiB
2025/11/27 17:05:07.782, 145.03 W, 100 %, 9499 MiB
2025/11/27 17:05:07.952, 146.69 W, 100 %, 9499 MiB
2025/11/27 17:05:08.122, 146.69 W, 100 %, 9499 MiB
2025/11/27 17:05:08.293, 139.99 W, 100 %, 9499 MiB
2025/11/27 17:05:08.463, 139.99 W, 100 %, 9499 MiB
2025/11/27 17:05:08.633, 139.99 W, 100 %, 9499 MiB
