backend,backend_kind,model,model_kind,params_millions,scenario,mode,n,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,tokens_per_s_median,tokens_total_median,prompt_tokens_median,gen_tokens_median,cuda_event_median_ms,gpu_peak_mb_median,ollama_load_ms_median
hf_gpu_fp16,hf,models/gpt2-50m,hf,50.0,short,e2e_kv,3,553.2697666666687,632.3178000000098,658.324289999905,660.6359779998957,115.44827616745704,73.0,9.0,64.0,632.1840190887451,632.44970703125,
hf_gpu_fp16,hf,models/gpt2-75m,hf,75.0,short,e2e_kv,3,277.943733333359,198.01110000003064,428.41596000007485,448.8963920000788,368.6662010361474,73.0,9.0,64.0,197.8787841796875,632.3837890625,
hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,short,e2e_kv,3,450.5470999999943,431.3458999999966,490.03526000005877,495.2520920000643,169.2377277725384,73.0,9.0,64.0,431.27177000045776,489.1572265625,
hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,short,e2e_kv,3,179.46453333343015,166.28770000011173,227.70469000013236,233.1639780001342,438.99819409343536,73.0,9.0,64.0,166.16550016403198,631.30419921875,
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,medium,kv_decode,3,509.85706666665465,445.8438999999999,619.8120999999219,635.275939999915,143.54799964741028,64.0,17.0,64.0,445.7902221679688,539.29345703125,
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.0,medium,kv_decode,3,155.13383333329026,141.4092999998502,192.07497999987027,196.57859599987205,452.5869232085004,64.0,17.0,64.0,141.3570556640625,539.3515625,
hf_gpu_fp16,hf,models/gpt2-45m,hf,45.0,medium,kv_decode,3,626.9032333333749,633.3352000001469,635.0863300000128,635.2419860000009,101.0523337404666,64.0,17.0,64.0,633.2623901367188,633.025390625,
hf_gpu_fp16,hf,models/gpt2-50m,hf,50.0,medium,kv_decode,3,426.8510999999459,451.5461999999389,539.7757199999887,547.6183439999932,141.73522000629984,64.0,17.0,64.0,451.5041198730469,489.4736328125,
hf_gpu_fp16,hf,models/gpt2-75m,hf,75.0,medium,kv_decode,3,259.661666666716,217.1672000001763,353.0532500000163,365.1320100000021,294.703804257494,64.0,17.0,64.0,217.1327362060547,633.26806640625,
hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,medium,kv_decode,3,637.0266000000507,635.9694000000218,649.9377600000344,651.1793920000355,100.63377263119548,64.0,17.0,64.0,635.8968505859375,633.97998046875,
hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,medium,kv_decode,3,171.90806666674993,133.93020000012257,261.2498700001652,272.56717400016896,477.86085587822186,64.0,17.0,64.0,133.8817596435547,13.068359375,
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,micro,kv_decode,3,556.3814333333994,555.2411999999549,594.3356700001004,597.8107340001134,115.26522167304084,64.0,1.0,64.0,555.0806884765625,630.7822265625,
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.0,micro,kv_decode,3,187.291699999984,198.3314999999948,241.23927000002826,245.05329400003123,322.69205849802825,64.0,1.0,64.0,198.28941345214844,537.74755859375,
hf_gpu_fp16,hf,models/gpt2-45m,hf,45.0,micro,kv_decode,3,469.330100000055,468.2597000000897,476.66921000006823,477.41672200006633,136.67629309117942,64.0,1.0,64.0,468.19830322265625,631.30419921875,
hf_gpu_fp16,hf,models/gpt2-50m,hf,50.0,micro,kv_decode,3,693.8817333333039,702.3950000000241,728.5015699999121,730.8221539999022,91.11682173135884,64.0,1.0,64.0,702.3216552734375,631.55810546875,
