backend,backend_kind,batch_size,model,model_kind,params_millions_effective,scenario,mode,n,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,tokens_per_s_median,tokens_per_s_compute_median,tokens_total_median,tokens_total_compute_median,prompt_tokens_median,prompt_tokens_raw_median,prompt_tokens_compute_median,gen_tokens_median,gen_tokens_raw_median,gen_tokens_target_median,cuda_event_median_ms,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
hf_gpu_fp16,hf,1,models/gpt2-75m,hf,74.824704,short,prefill,3,4.148666666878853,4.2221000003337394,4.291039999770874,4.297167999720841,2131.6406525872403,2131.6406525872403,9.0,9.0,,9.0,9.0,0.0,128.0,128.0,4.161215782165527,558.80712890625,,74.825,74.824704
hf_gpu_fp16,hf,1,models/gpt2-100m,hf,96.08832,short,prefill,3,5.212466666610756,5.349799999748939,5.417299999680836,5.423299999674782,1682.3058806726162,1682.3058806726162,9.0,9.0,,9.0,9.0,0.0,128.0,128.0,5.303199768066406,411.03564453125,,96.088,96.08832
ollama,ollama,1,gemma3:270m,ollama,268.1,medium,e2e_kv,3,253.5504,253.3297,254.60761,254.72120199999998,603.9560304220153,603.9560304220153,153.0,153.0,,25.0,,128.0,128.0,128.0,,,293.0232,268.1,268.1
ollama,ollama,1,qwen2.5:7b,ollama,7600.0,medium,e2e_kv,3,1475.418,1475.41,1476.1885899999997,1476.2577979999999,117.9333202296311,117.93332022963108,174.0,174.0,,46.0,,128.0,128.0,128.0,,,235.347,7600.0,7600.0
ollama,ollama,1,gpt-oss-20b:latest,ollama,20900.0,medium,e2e_kv,3,6857.167,6830.3708,6905.44358,6912.1167159999995,33.23392047764084,33.23392047764084,227.0,227.0,,99.0,,128.0,128.0,128.0,,,455.3465,20900.0,20900.0
ollama,ollama,1,gemma3:270m,ollama,268.1,short,e2e_kv,3,266.66636666666665,266.2186,268.52191,268.7266486666667,544.665173658039,544.665173658039,145.0,145.0,,17.0,,128.0,48.0,128.0,,,292.7976,268.1,268.1
ollama,ollama,1,qwen2.5:7b,ollama,7600.0,short,e2e_kv,3,1450.9965914285713,1441.894897142857,1469.6284305714287,1472.093633542857,115.1262830105941,115.1262830105941,166.0,166.0,,38.0,,128.0,35.0,128.0,,,229.4788,7600.0,7600.0
ollama,ollama,1,gpt-oss-20b:latest,ollama,20900.0,short,e2e_kv,3,6359.978933333333,6469.2792,6502.56741,6505.526362,34.00687977727102,34.00687977727102,220.0,220.0,,92.0,,128.0,128.0,128.0,,,442.934,20900.0,20900.0
ollama,ollama,1,gemma3:270m,ollama,268.1,medium,kv_decode,3,251.31139999999996,250.9851,252.58241999999998,252.724404,509.990433695068,509.990433695068,128.0,128.0,,25.0,,128.0,128.0,128.0,,,293.0232,268.1,268.1
ollama,ollama,1,qwen2.5:7b,ollama,7600.0,medium,kv_decode,3,1463.3164666666664,1462.813,1464.2142099999999,1464.3387619999999,87.50264046053732,87.50264046053732,128.0,128.0,,46.0,,128.0,128.0,128.0,,,235.347,7600.0,7600.0
ollama,ollama,1,gpt-oss-20b:latest,ollama,20900.0,medium,kv_decode,3,6798.146866666667,6774.4636,6844.16644,6850.362247999999,18.8944848710974,18.894484871097397,128.0,128.0,,99.0,,128.0,128.0,128.0,,,455.3465,20900.0,20900.0
ollama,ollama,1,gemma3:270m,ollama,268.1,short,kv_decode,3,264.03839999999997,263.9424,265.49303999999995,265.6308746666666,484.95429305787934,484.9542930578793,128.0,128.0,,17.0,,128.0,48.0,128.0,,,292.7976,268.1,268.1
ollama,ollama,1,qwen2.5:7b,ollama,7600.0,short,kv_decode,3,1439.2310247619046,1430.567497142857,1457.1889005714286,1459.5552475428572,89.47498126138251,89.47498126138251,128.0,128.0,,38.0,,128.0,35.0,128.0,,,229.4788,7600.0,7600.0
ollama,ollama,1,gpt-oss-20b:latest,ollama,20900.0,short,kv_decode,3,6306.151466666667,6409.7785,6445.8913600000005,6449.1013920000005,19.969488805268387,19.969488805268387,128.0,128.0,,92.0,,128.0,128.0,128.0,,,442.934,20900.0,20900.0
ollama,ollama,1,gemma3:270m,ollama,268.1,medium,prefill,3,2.239,2.3446,2.3788899999999997,2.381938,10662.799624669457,10662.799624669455,25.0,25.0,,25.0,,0.0,128.0,128.0,,,293.0232,268.1,268.1
ollama,ollama,1,qwen2.5:7b,ollama,7600.0,medium,prefill,3,12.101533333333334,11.9052,12.56967,12.628734,3863.8578100325904,3863.8578100325904,46.0,46.0,,46.0,,0.0,128.0,128.0,,,235.347,7600.0,7600.0
ollama,ollama,1,gpt-oss-20b:latest,ollama,20900.0,medium,prefill,3,59.02013333333334,59.2794,61.614360000000005,61.821912000000005,1670.0573892448303,1670.0573892448303,99.0,99.0,,99.0,,0.0,128.0,128.0,,,455.3465,20900.0,20900.0
ollama,ollama,1,gemma3:270m,ollama,268.1,short,prefill,3,2.6279666666666666,2.4952,3.05077,3.100154,6813.081115742225,6813.081115742225,17.0,17.0,,17.0,,0.0,48.0,128.0,,,292.7976,268.1,268.1
ollama,ollama,1,qwen2.5:7b,ollama,7600.0,short,prefill,3,11.765566666666667,11.4062,12.44741,12.539962000000001,3331.5214532447267,3331.5214532447267,38.0,38.0,,38.0,,0.0,35.0,128.0,,,229.4788,7600.0,7600.0
ollama,ollama,1,gpt-oss-20b:latest,ollama,20900.0,short,prefill,3,53.82746666666667,56.3622,59.18685,59.43793,1632.2996618300915,1632.2996618300917,92.0,92.0,,92.0,,0.0,128.0,128.0,,,442.934,20900.0,20900.0
